param w :=
    1 1 0.31
    1 2 0.66
    1 3 0.3
    2 1 0.14
    2 2 0.47
    2 3 0.208
    3 1 0.18
    3 2 0.65
    3 3 0.253
    4 1 0.19
    4 2 0.18
    4 3 0.39
    5 1 0.53
    5 2 0.25
    5 3 0.26
    6 1 0.19
    6 2 0.24
    6 3 0.305
    7 1 0.21
    7 2 0.53
    7 3 0.34
    8 1 0.227
    8 2 0.75
    8 3 0.423
    9 1 0.34
    9 2 0.3
    9 3 0.258
    10 1 0.205
    10 2 0.25
    10 3 0.43
    11 1 0.215
    11 2 0.23
    11 3 0.26
    12 1 0.36
    12 2 0.26
    12 3 0.44
    13 1 0.25
    13 2 0.1
    13 3 0.277
    14 1 0.65
    14 2 0.265
    14 3 0.32
    15 1 0.26
    15 2 0.3
    15 3 0.4
    16 1 0.153
    16 2 0.167
    16 3 0.463
    17 1 0.58
    17 2 0.375
    17 3 0.303
    18 1 0.3
    18 2 0.84
    18 3 0.32
    19 1 0.54
    19 2 0.26
    19 3 0.297
    20 1 0.233
    20 2 0.29
    20 3 0.287
    21 1 0.3
    21 2 0.19
    21 3 0.277
    22 1 0.285
    22 2 0.323
    22 3 0.27
    23 1 0.28
    23 2 0.36
    23 3 0.23
    24 1 0.41
    24 2 0.635
    24 3 0.415
    25 1 0.167
    25 2 0.133
    25 3 0.3
    26 1 0.26
    26 2 0.135
    26 3 0.36
    27 1 0.29
    27 2 0.25
    27 3 0.24
    28 1 0.133
    28 2 0.16
    28 3 0.323
    29 1 0.084
    29 2 0.233
    29 3 0.34
    30 1 0.36
    30 2 0.215
    30 3 0.26
    31 1 0.133
    31 2 0.41
    31 3 0.34
    32 1 0.25
    32 2 0.36
    32 3 0.47
    33 1 0.227
    33 2 0.205
    33 3 0.37
    34 1 0.375
    34 2 0.66
    34 3 0.24
    35 1 0.23
    35 2 0.34
    35 3 0.19
    36 1 0.19
    36 2 0.14
    36 3 0.347
    37 1 0.28
    37 2 0.58
    37 3 0.307
    38 1 0.25
    38 2 0.17
    38 3 0.44
    39 1 0.605
    39 2 0.18
    39 3 0.18
    40 1 0.16
    40 2 0.54
    40 3 0.44
    41 1 0.1
    41 2 0.28
    41 3 0.287
    42 1 0.23
    42 2 0.285
    42 3 0.44
    43 1 0.7
    43 2 0.227
    43 3 0.355
    44 1 0.19
    44 2 0.28
    44 3 0.345
    45 1 0.193
    45 2 0.19
    45 3 0.16
    46 1 0.09
    46 2 0.23
    46 3 0.36
    47 1 0.22
    47 2 0.084
    47 3 0.4
    48 1 0.525
    48 2 0.1
    48 3 0.335
    49 1 0.11
    49 2 0.19
    49 3 0.34
    50 1 0.29
    50 2 0.21
    50 3 0.17
    51 1 0.46
    51 2 0.227
    51 3 0.36
    52 1 0.25
    52 2 0.193
    52 3 0.23
    53 1 0.505
    53 2 0.19
    53 3 0.18
    54 1 0.124
    54 2 0.22
    54 3 0.26
    55 1 0.2
    55 2 0.22
    55 3 0.315
    56 1 0.2
    56 2 0.13
    56 3 0.29
    57 1 0.36
    57 2 0.77
    57 3 0.23
    58 1 0.24
    58 2 0.207
    58 3 0.36
    59 1 0.59
    59 2 0.72
    59 3 0.267
    60 1 0.213
    60 2 0.655
    60 3 0.327
    61 1 0.14
    61 2 0.207
    61 3 0.23
    62 1 0.27
    62 2 0.192
    62 3 0.34
    63 1 0.213
    63 2 0.22
    63 3 0.19
    64 1 0.133
    64 2 0.505
    64 3 0.308
    65 1 0.18
    65 2 0.27
    65 3 0.307
    66 1 0.22
    66 2 0.59
    66 3 0.32
    67 1 0.25
    67 2 0.49
    67 3 0.308
    68 1 0.247
    68 2 0.247
    68 3 0.353
    69 1 0.2
    69 2 0.2
    69 3 0.267
    70 1 0.77
    70 2 0.14
    70 3 0.495
    71 1 0.207
    71 2 0.29
    71 3 0.493
    72 1 0.22
    72 2 0.24
    72 3 0.473
    73 1 0.08
    73 2 0.27
    73 3 0.27
    74 1 0.49
    74 2 0.25
    74 3 0.385
    75 1 0.187
    75 2 0.2
    75 3 0.3
    76 1 0.465
    76 2 0.59
    76 3 0.435
    77 1 0.44
    77 2 0.133
    77 3 0.313
    78 1 0.08
    78 2 0.28
    78 3 0.22
    79 1 0.18
    79 2 0.32
    79 3 0.25
