id;Ordem_de_produção;Data_da_ordem_de_produção;Produto;Comprimento_unit;Largura_unit;Altura_unit;Peso_unit;Peças;Caixa_padrão;Loja;Classe_de_onda;Tipo_de_buffer;Item_pai;Cor;Tamanho;Inner;Rota;Capacidade;pai_cor;chave_loja_buffer_onda;Volume_unit;Volume_total;Peso_total;item_loja
14;1429;2023-10-24;534996762;364;167;90;0.09;1;CARTON_M;10;1;CX;777;1.0;31;1;8;40000000000.0;777_1.0;10_CX_1;5470920;5470920;0.09;1
15;1499;2023-10-24;534996762;364;167;90;0.09;1;CARTON_M;10;1;CX;777;1.0;31;1;8;40000000000.0;777_1.0;10_CX_1;5470920;5470920;0.09;2
16;1499;2023-10-24;539354355;250;100;70;0.2;2;CARTON_M;10;1;CX;777;95.0;31;1;8;40000000000.0;777_95.0;10_CX_1;1750000;3500000;0.4;3
17;909;2023-10-24;539354355;250;100;70;0.2;2;CARTON_M;10;1;CX;777;95.0;31;1;8;40000000000.0;777_95.0;10_CX_1;1750000;3500000;0.4;4
18;1499;2023-10-24;539354347;250;100;55;0.18;1;CARTON_M;10;1;CX;777;95.0;39;1;8;40000000000.0;777_95.0;10_CX_1;1375000;1375000;0.18;5
19;909;2023-10-24;539354347;250;100;55;0.18;2;CARTON_M;10;1;CX;777;95.0;39;1;8;40000000000.0;777_95.0;10_CX_1;1375000;2750000;0.36;6
20;909;2023-10-24;539354304;250;100;54;0.2;2;CARTON_M;10;1;CX;777;95.0;21;1;8;40000000000.0;777_95.0;10_CX_1;1350000;2700000;0.4;7
347;5752;2023-11-03;636016702;367;296;13;0.1;6;CARTON_M;10;1;CX;960;4.0;8;1;8;40000000000.0;960_4.0;10_CX_1;1412216;8473296;0.6000000000000001;13
652;444;2023-11-03;542140489;300;247;21;0.22;7;CARTON_M;3;9;CX;135;10.0;5;1;5;27200000000.0;135_10.0;3_CX_9;1556100;10892700;1.54;10
653;444;2023-11-03;542140500;300;295;19;0.153;6;CARTON_M;3;9;CX;135;10.0;6;1;5;27200000000.0;135_10.0;3_CX_9;1681500;10089000;0.9179999999999999;11
654;444;2023-11-03;542140497;300;227;21;0.23;17;CARTON_M;3;9;CX;135;10.0;1;1;5;27200000000.0;135_10.0;3_CX_9;1430100;24311700;3.91;12
655;444;2023-11-03;542140454;300;237;32;0.23;4;CARTON_M;3;9;CX;135;3.0;1;1;5;27200000000.0;135_3.0;3_CX_9;2275200;9100800;0.92;13
656;444;2023-11-03;542140446;422;216;23;0.187;12;CARTON_M;3;9;CX;135;3.0;5;1;5;27200000000.0;135_3.0;3_CX_9;2096496;25157952;2.2439999999999998;14
657;444;2023-11-03;542140438;420;201;21;0.18;2;CARTON_M;3;9;CX;135;3.0;3;1;5;27200000000.0;135_3.0;3_CX_9;1772820;3545640;0.36;15
658;444;2023-11-03;542140462;300;295;19;0.153;1;CARTON_M;3;9;CX;135;3.0;6;1;5;27200000000.0;135_3.0;3_CX_9;1681500;1681500;0.153;16
659;3437;2023-11-03;542140542;300;240;22;0.24;1;CARTON_M;3;9;CX;135;74.0;6;1;5;27200000000.0;135_74.0;3_CX_9;1584000;1584000;0.24;17
660;444;2023-11-03;542140542;300;240;22;0.24;2;CARTON_M;3;9;CX;135;74.0;6;1;5;27200000000.0;135_74.0;3_CX_9;1584000;3168000;0.48;18
661;3437;2023-11-03;542140526;300;267;22;0.22;1;CARTON_M;3;9;CX;135;74.0;5;1;5;27200000000.0;135_74.0;3_CX_9;1762200;1762200;0.22;19
2181;909;2023-11-07;528815718;250;100;70;0.2;1;CARTON_M;10;1;CX;1063;10.0;8;1;8;40000000000.0;1063_10.0;10_CX_1;1750000;1750000;0.2;42
2182;1429;2023-11-07;528815718;250;100;70;0.2;1;CARTON_M;10;1;CX;1063;10.0;8;1;8;40000000000.0;1063_10.0;10_CX_1;1750000;1750000;0.2;43
2183;1429;2023-11-07;528815697;250;100;35;0.18;2;CARTON_M;10;1;CX;1063;10.0;39;1;8;40000000000.0;1063_10.0;10_CX_1;875000;1750000;0.36;44
2184;1429;2023-11-07;528815478;250;100;27;0.135;1;CARTON_M;10;1;CX;1063;3.0;24;1;8;40000000000.0;1063_3.0;10_CX_1;675000;675000;0.135;45
2185;2339;2023-11-07;537377457;320;262;21;0.148;1;CARTON_M;10;1;CX;1066;2.0;5;1;8;40000000000.0;1066_2.0;10_CX_1;1760640;1760640;0.148;46
2186;2753;2023-11-07;537377457;320;262;21;0.148;1;CARTON_M;10;1;CX;1066;2.0;5;1;8;40000000000.0;1066_2.0;10_CX_1;1760640;1760640;0.148;47
2187;2753;2023-11-07;537377473;339;270;19;0.158;1;CARTON_M;10;1;CX;1066;2.0;6;1;8;40000000000.0;1066_2.0;10_CX_1;1739070;1739070;0.158;48
2188;2753;2023-11-07;537377465;361;245;21;0.15;2;CARTON_M;10;1;CX;1066;2.0;1;1;8;40000000000.0;1066_2.0;10_CX_1;1857345;3714690;0.3;49
2189;2753;2023-11-07;548760013;340;266;20;0.165;1;CARTON_M;10;1;CX;1066;2.0;28;1;8;40000000000.0;1066_2.0;10_CX_1;1808800;1808800;0.165;50
2190;909;2023-11-07;546628781;419;320;10;0.098;2;CARTON_M;10;1;CX;1074;10.0;39;1;8;40000000000.0;1074_10.0;10_CX_1;1340800;2681600;0.196;51
2191;909;2023-11-07;546628799;427;346;10;0.111;3;CARTON_M;10;1;CX;1074;10.0;31;1;8;40000000000.0;1074_10.0;10_CX_1;1477420;4432260;0.333;52
2192;1499;2023-11-07;541263719;250;100;47;0.18;1;CARTON_M;10;1;CX;1074;3.0;25;1;8;40000000000.0;1074_3.0;10_CX_1;1175000;1175000;0.18;53
2193;909;2023-11-07;541263719;250;100;47;0.18;1;CARTON_M;10;1;CX;1074;3.0;25;1;8;40000000000.0;1074_3.0;10_CX_1;1175000;1175000;0.18;54
2194;1429;2023-11-07;541263719;250;100;47;0.18;1;CARTON_M;10;1;CX;1074;3.0;25;1;8;40000000000.0;1074_3.0;10_CX_1;1175000;1175000;0.18;55
2195;909;2023-11-07;541263647;250;100;70;0.2;4;CARTON_M;10;1;CX;1074;95.0;8;1;8;40000000000.0;1074_95.0;10_CX_1;1750000;7000000;0.8;56
2196;909;2023-11-07;541263639;250;100;70;0.2;1;CARTON_M;10;1;CX;1074;95.0;31;1;8;40000000000.0;1074_95.0;10_CX_1;1750000;1750000;0.2;57
2197;1429;2023-11-07;541263639;250;100;70;0.2;1;CARTON_M;10;1;CX;1074;95.0;31;1;8;40000000000.0;1074_95.0;10_CX_1;1750000;1750000;0.2;58
2198;1499;2023-11-07;541263639;250;100;70;0.2;1;CARTON_M;10;1;CX;1074;95.0;31;1;8;40000000000.0;1074_95.0;10_CX_1;1750000;1750000;0.2;59
2199;1499;2023-11-07;549189381;314;324;8;0.071;1;CARTON_M;10;1;CX;1092;1.0;21;1;8;40000000000.0;1092_1.0;10_CX_1;813888;813888;0.071;60
2200;1499;2023-11-07;549189402;250;100;9;0.08;6;CARTON_M;10;1;CX;1092;1.0;39;1;8;40000000000.0;1092_1.0;10_CX_1;225000;1350000;0.48;61
2201;1499;2023-11-07;549189429;250;100;10;0.093;2;CARTON_M;10;1;CX;1092;1.0;8;1;8;40000000000.0;1092_1.0;10_CX_1;250000;500000;0.186;62
2202;1499;2023-11-07;549189390;250;100;7;0.078;1;CARTON_M;10;1;CX;1092;1.0;24;1;8;40000000000.0;1092_1.0;10_CX_1;175000;175000;0.078;63
2203;909;2023-11-07;547194751;250;100;13;0.096;1;CARTON_M;10;1;CX;1092;3.0;8;1;8;40000000000.0;1092_3.0;10_CX_1;325000;325000;0.096;64
