id;Ordem_de_produção;Data_da_ordem_de_produção;Produto;Comprimento_unit;Largura_unit;Altura_unit;Peso_unit;Peças;Caixa_padrão;Loja;Classe_de_onda;Tipo_de_buffer;Item_pai;Cor;Tamanho;Inner;Rota;Capacidade;pai_cor;chave_loja_buffer_onda;Volume_unit;Volume_total;Peso_total;item_loja;Pecas_alocadas;Amt_in_bin;bin_index
14;1429;2023-10-24;534996762;364;167;90;0.09;1;CARTON_M;10;1;CX;777;1.0;31;1;8;40000000000.0;777_1.0;10_CX_1;5470920;5470920;0.09;1;1;41;0
15;1499;2023-10-24;534996762;364;167;90;0.09;1;CARTON_M;10;1;CX;777;1.0;31;1;8;40000000000.0;777_1.0;10_CX_1;5470920;5470920;0.09;2;1;41;0
16;1499;2023-10-24;539354355;250;100;70;0.2;2;CARTON_M;10;1;CX;777;95.0;31;1;8;40000000000.0;777_95.0;10_CX_1;1750000;3500000;0.4;3;2;41;0
17;909;2023-10-24;539354355;250;100;70;0.2;2;CARTON_M;10;1;CX;777;95.0;31;1;8;40000000000.0;777_95.0;10_CX_1;1750000;3500000;0.4;4;2;41;0
19;909;2023-10-24;539354347;250;100;55;0.18;2;CARTON_M;10;1;CX;777;95.0;39;1;8;40000000000.0;777_95.0;10_CX_1;1375000;2750000;0.36;6;2;41;0
20;909;2023-10-24;539354304;250;100;54;0.2;2;CARTON_M;10;1;CX;777;95.0;21;1;8;40000000000.0;777_95.0;10_CX_1;1350000;2700000;0.4;7;2;41;0
18;1499;2023-10-24;539354347;250;100;55;0.18;1;CARTON_M;10;1;CX;777;95.0;39;1;8;40000000000.0;777_95.0;10_CX_1;1375000;1375000;0.18;5;1;41;0
347;5752;2023-11-03;636016702;367;296;13;0.1;6;CARTON_M;10;1;CX;960;4.0;8;1;8;40000000000.0;960_4.0;10_CX_1;1412216;8473296;0.6000000000000001;13;6;41;0
2222;2753;2023-11-07;548057758;343;232;16;0.15;20;CARTON_M;10;1;CX;1756;3.0;5;1;8;40000000000.0;1756_3.0;10_CX_1;1273216;25464320;3.0;83;20;41;0
2313;1499;2023-11-07;516276841;370;255;81;0.32;3;CARTON_M;10;1;CX;736;3.0;31;1;8;40000000000.0;736_3.0;10_CX_1;7642350;22927050;0.96;174;3;41;0
2185;2339;2023-11-07;537377457;320;262;21;0.148;1;CARTON_M;10;1;CX;1066;2.0;5;1;8;40000000000.0;1066_2.0;10_CX_1;1760640;1760640;0.148;46;1;41;0
34055;11892;2023-10-31;633648974;415;333;13;0.1;5;CARTON_M;2;3;EN;2229;54.0;13;1;11;27200000000.0;2229_54.0;2_EN_3;1796535;8982675;0.5;1259;5;22;1
34051;1842;2023-10-31;869448717;450;312;34;0.21;1;CARTON_M;2;3;EN;1384;142.0;13;1;11;27200000000.0;1384_142.0;2_EN_3;4773600;4773600;0.21;1255;1;22;1
34052;1534;2023-10-31;869448717;450;312;34;0.21;1;CARTON_M;2;3;EN;1384;142.0;13;1;11;27200000000.0;1384_142.0;2_EN_3;4773600;4773600;0.21;1256;1;22;1
34054;1842;2023-10-31;633648931;412;283;9;0.14;1;CARTON_M;2;3;EN;2229;22.0;1;1;11;27200000000.0;2229_22.0;2_EN_3;1049364;1049364;0.14;1258;1;22;1
34053;1534;2023-10-31;633648958;371;272;10;0.193;1;CARTON_M;2;3;EN;2229;22.0;6;1;11;27200000000.0;2229_22.0;2_EN_3;1009120;1009120;0.193;1257;1;22;1
36240;4402;2023-11-07;807045541;512;201;49;0.315;10;CARTON_M;2;3;EN;290;218.0;6;1;11;27200000000.0;290_218.0;2_EN_3;5042688;50426880;3.15;1325;10;22;1
36259;1534;2023-11-07;548868358;425;258;13;0.14;3;CARTON_M;2;3;EN;577;3.0;3;1;11;27200000000.0;577_3.0;2_EN_3;1425450;4276350;0.42000000000000004;1344;3;22;1
34198;1370;2023-10-31;869448717;450;312;34;0.21;1;CARTON_M;31;3;EN;1384;142.0;13;1;10;27200000000.0;1384_142.0;31_EN_3;4773600;4773600;0.21;1014;1;11;2
34199;1370;2023-10-31;633648931;412;283;9;0.14;1;CARTON_M;31;3;EN;2229;22.0;1;1;10;27200000000.0;2229_22.0;31_EN_3;1049364;1049364;0.14;1015;1;11;2
